,activity,start,end,type,user,travel_start,travel_end,case,cost
26608,file travel expense report,19.06.17 07:49,19.06.17 08:00,Employee,MA6233,16.06.17,17.06.17,3014,
26609,confirm travel expense report,19.06.17 08:00,19.06.17 08:01,Employee,MA6233,16.06.17,17.06.17,3014,
26610,decide on travel expense approval,19.06.17 14:06,19.06.17 14:10,Manager,CN787,16.06.17,17.06.17,3014,
26611,send original documents to archive,22.06.17 20:43,22.06.17 21:00,Employee,MA6233,16.06.17,17.06.17,3014,
26612,calculate payments,31.07.17 09:03,31.07.17 09:29,Accounting,WE5108,16.06.17,17.06.17,3014,
26613,pay expenses,21.08.17 08:59,21.08.17 09:04,Accounting,WE5108,16.06.17,17.06.17,3014,
26614,file travel request,04.10.17 06:59,04.10.17 07:16,Employee,JV8717,29.06.17,01.07.17,3015,
26615,check if travel request needs preliminary price inquiry,04.10.17 07:16,04.10.17 07:17,,,29.06.17,01.07.17,3015,
26616,decide on approval requirements,04.10.17 07:17,04.10.17 07:18,,,29.06.17,01.07.17,3015,
26617,check if booking is necessary,17.04.17 10:17,17.04.17 10:19,Travel Department,WG5857,29.06.17,01.07.17,3015,
26618,check if expense documents exist,07.04.17 11:49,07.04.17 12:08,Employee,JV8717,29.06.17,01.07.17,3015,
26619,file travel expense report,07.04.17 12:08,07.04.17 12:14,Employee,JV8717,29.06.17,01.07.17,3015,
26620,confirm travel expense report,07.04.17 12:14,07.04.17 12:15,Employee,JV8717,29.06.17,01.07.17,3015,
26621,decide on travel expense approval,07.04.17 14:02,07.04.17 14:03,Manager,LV1269,29.06.17,01.07.17,3015,
26622,send request for travel expense correction,07.04.17 14:03,07.04.17 14:03,,,29.06.17,01.07.17,3015,
26623,correct travel expense report,07.06.17 08:56,07.06.17 09:16,Employee,JV8717,29.06.17,01.07.17,3015,
26624,decide on travel expense approval,07.06.17 14:00,07.06.17 14:06,Manager,LV1269,29.06.17,01.07.17,3015,
26625,send original documents to archive,14.07.17 16:28,14.07.17 17:01,Employee,JV8717,29.06.17,01.07.17,3015,
26626,calculate payments,08.10.17 10:36,08.10.17 10:49,Accounting,FI12,29.06.17,01.07.17,3015,
26627,pay expenses,28.08.17 10:06,28.08.17 10:14,Accounting,FI12,29.06.17,01.07.17,3015,
26628,file travel request,04.10.17 06:59,04.10.17 07:27,Employee,YQ586,10.05.17,14.05.17,3016,
26629,check if travel request needs preliminary price inquiry,04.10.17 07:27,04.10.17 07:28,,,10.05.17,14.05.17,3016,
26630,decide on approval requirements,04.10.17 07:28,04.10.17 07:29,,,10.05.17,14.05.17,3016,
26631,forward request to approver,04.10.17 07:29,04.10.17 07:31,,,10.05.17,14.05.17,3016,
26632,decide on request,04.10.17 14:01,04.10.17 14:08,Manager,CV4719,10.05.17,14.05.17,3016,
26633,check if booking is necessary,18.04.17 08:59,18.04.17 09:03,Travel Department,NV2279,10.05.17,14.05.17,3016,
26634,check if expense documents exist,22.05.17 06:59,22.05.17 07:52,Employee,YQ586,10.05.17,14.05.17,3016,
26635,upload travel expense documents,22.05.17 07:52,22.05.17 08:07,Employee,YQ586,10.05.17,14.05.17,3016,
26636,file travel expense report,22.05.17 08:07,22.05.17 08:13,Employee,YQ586,10.05.17,14.05.17,3016,
26637,confirm travel expense report,22.05.17 08:13,22.05.17 08:15,Employee,YQ586,10.05.17,14.05.17,3016,
26638,decide on travel expense approval,22.05.17 14:10,22.05.17 14:15,Manager,CV4719,10.05.17,14.05.17,3016,
26639,send request for travel expense correction,22.05.17 14:15,22.05.17 14:16,,,10.05.17,14.05.17,3016,
26640,correct travel expense report,29.05.17 06:59,29.05.17 07:24,Employee,YQ586,10.05.17,14.05.17,3016,
26641,decide on travel expense approval,29.05.17 13:59,29.05.17 14:00,Manager,CV4719,10.05.17,14.05.17,3016,
26642,send request for travel expense correction,29.05.17 14:00,29.05.17 14:01,,,10.05.17,14.05.17,3016,
26643,correct travel expense report,06.05.17 18:02,06.05.17 18:42,Employee,YQ586,10.05.17,14.05.17,3016,
26644,decide on travel expense approval,06.06.17 13:59,06.06.17 14:00,Manager,CV4719,10.05.17,14.05.17,3016,
26645,send original documents to archive,21.06.17 22:15,21.06.17 22:39,Employee,YQ586,10.05.17,14.05.17,3016,
26646,calculate payments,07.03.17 10:13,07.03.17 10:25,Accounting,WE5108,10.05.17,14.05.17,3016,
26647,pay expenses,07.06.17 09:05,07.06.17 09:09,Accounting,WE5108,10.05.17,14.05.17,3016,
26648,file travel request,04.10.17 06:59,04.10.17 07:10,Employee,YQ5830,23.06.17,24.06.17,3017,
26649,check if travel request needs preliminary price inquiry,04.10.17 07:10,04.10.17 07:12,,,23.06.17,24.06.17,3017,
26650,decide on approval requirements,04.10.17 07:12,04.10.17 07:13,,,23.06.17,24.06.17,3017,
26651,check if booking is necessary,17.04.17 09:08,17.04.17 09:11,Travel Department,KS9688,23.06.17,24.06.17,3017,
26652,prepare booking proposal,25.04.17 10:42,25.04.17 11:33,Travel Department,KS9688,23.06.17,24.06.17,3017,
26653,send booking proposal to employee,05.02.17 13:17,05.02.17 13:20,Travel Department,KS9688,23.06.17,24.06.17,3017,
26654,check booking proposal,05.02.17 18:43,05.02.17 18:45,Employee,YQ5830,23.06.17,24.06.17,3017,
26655,book travel,05.11.17 08:59,05.11.17 11:02,Travel Department,KS9688,23.06.17,24.06.17,3017,
26656,check if expense documents exist,07.03.17 06:59,07.03.17 07:14,Employee,YQ5830,23.06.17,24.06.17,3017,
26657,upload travel expense documents,07.03.17 07:14,07.03.17 07:29,Employee,YQ5830,23.06.17,24.06.17,3017,
26658,file travel expense report,07.03.17 07:29,07.03.17 07:32,Employee,YQ5830,23.06.17,24.06.17,3017,
26659,confirm travel expense report,07.03.17 07:32,07.03.17 07:33,Employee,YQ5830,23.06.17,24.06.17,3017,
26660,decide on travel expense approval,07.03.17 14:03,07.03.17 14:04,Manager,MA6233,23.06.17,24.06.17,3017,
26661,send request for travel expense correction,07.03.17 14:04,07.03.17 14:04,,,23.06.17,24.06.17,3017,
26662,correct travel expense report,07.04.17 06:59,07.04.17 08:26,Employee,YQ5830,23.06.17,24.06.17,3017,
26663,decide on travel expense approval,07.04.17 14:02,07.04.17 14:04,Manager,MA6233,23.06.17,24.06.17,3017,
26664,send original documents to archive,07.07.17 09:37,07.07.17 09:46,Employee,YQ5830,23.06.17,24.06.17,3017,
26665,calculate payments,24.07.17 11:40,24.07.17 12:22,Accounting,JH2172,23.06.17,24.06.17,3017,
26666,pay expenses,08.03.17 09:22,08.03.17 09:27,Accounting,JH2172,23.06.17,24.06.17,3017,
26667,file travel request,04.10.17 06:59,04.10.17 07:15,Employee,IC4569,21.07.17,23.07.17,3018,
26668,check if travel request needs preliminary price inquiry,04.10.17 07:15,04.10.17 07:15,,,21.07.17,23.07.17,3018,
26669,prepare booking proposal,17.04.17 09:17,17.04.17 10:35,Travel Department,AW2532,21.07.17,23.07.17,3018,
26670,send booking proposal to employee,25.04.17 12:59,25.04.17 13:04,Travel Department,AW2532,21.07.17,23.07.17,3018,
26671,check booking proposal,25.04.17 14:52,25.04.17 15:05,Employee,IC4569,21.07.17,23.07.17,3018,
26672,transform price inquiry to travel request,25.04.17 15:17,25.04.17 15:17,Employee,IC4569,21.07.17,23.07.17,3018,
26673,decide on approval requirements,25.04.17 15:17,25.04.17 15:18,,,21.07.17,23.07.17,3018,
26674,check if booking is necessary,05.02.17 16:52,05.02.17 16:55,Travel Department,AW2532,21.07.17,23.07.17,3018,
26675,check if expense documents exist,26.07.17 17:40,26.07.17 18:00,Employee,IC4569,21.07.17,23.07.17,3018,
26676,file travel expense report,26.07.17 18:00,26.07.17 18:06,Employee,IC4569,21.07.17,23.07.17,3018,
26677,confirm travel expense report,26.07.17 18:06,26.07.17 18:07,Employee,IC4569,21.07.17,23.07.17,3018,
26678,decide on travel expense approval,27.07.17 13:59,27.07.17 14:05,Manager,HK6824,21.07.17,23.07.17,3018,
26679,send original documents to archive,08.08.17 06:59,08.08.17 07:20,Employee,IC4569,21.07.17,23.07.17,3018,
26680,calculate payments,24.08.17 08:59,24.08.17 09:57,Accounting,FI12,21.07.17,23.07.17,3018,
26681,pay expenses,28.08.17 11:05,28.08.17 11:09,Accounting,FI12,21.07.17,23.07.17,3018,
26682,file travel request,04.10.17 06:59,04.10.17 07:11,Employee,UD1730,19.08.17,23.08.17,3019,
26683,check if travel request needs preliminary price inquiry,04.10.17 07:11,04.10.17 07:12,,,19.08.17,23.08.17,3019,
26684,prepare booking proposal,17.04.17 09:03,17.04.17 10:17,Travel Department,NV2279,19.08.17,23.08.17,3019,
26685,send booking proposal to employee,25.04.17 12:02,25.04.17 12:08,Travel Department,NV2279,19.08.17,23.08.17,3019,
26686,check booking proposal,25.04.17 12:53,25.04.17 13:00,Employee,UD1730,19.08.17,23.08.17,3019,
26687,check if price inquiry is still needed and up to date,05.09.17 08:43,05.09.17 08:44,Employee,UD1730,19.08.17,23.08.17,3019,
26688,request update of the booking proposal,05.09.17 08:44,05.09.17 08:44,Employee,UD1730,19.08.17,23.08.17,3019,
26689,prepare booking proposal,16.05.17 11:52,16.05.17 12:42,Travel Department,NV2279,19.08.17,23.08.17,3019,
26690,send booking proposal to employee,24.05.17 13:01,24.05.17 13:04,Travel Department,NV2279,19.08.17,23.08.17,3019,
26691,check booking proposal,24.05.17 16:07,24.05.17 16:16,Employee,UD1730,19.08.17,23.08.17,3019,
26692,transform price inquiry to travel request,24.05.17 16:22,24.05.17 16:22,Employee,UD1730,19.08.17,23.08.17,3019,
26693,decide on approval requirements,24.05.17 16:22,24.05.17 16:24,,,19.08.17,23.08.17,3019,
26694,check if booking is necessary,06.01.17 14:26,06.01.17 14:27,Travel Department,NV2279,19.08.17,23.08.17,3019,
26695,prepare booking proposal,06.09.17 14:35,06.09.17 15:17,Travel Department,NV2279,19.08.17,23.08.17,3019,
26696,send booking proposal to employee,19.06.17 16:38,19.06.17 16:41,Travel Department,NV2279,19.08.17,23.08.17,3019,
26697,check booking proposal,19.06.17 22:05,19.06.17 22:09,Employee,UD1730,19.08.17,23.08.17,3019,
26698,check if travel request is still needed and up to date,23.06.17 07:38,23.06.17 07:45,Employee,UD1730,19.08.17,23.08.17,3019,
26699,request update of the booking proposal,23.06.17 07:45,23.06.17 07:45,Employee,UD1730,19.08.17,23.08.17,3019,
26700,prepare booking proposal,07.10.17 12:26,07.10.17 14:25,Travel Department,NV2279,19.08.17,23.08.17,3019,
26701,send booking proposal to employee,20.07.17 16:31,20.07.17 16:35,Travel Department,NV2279,19.08.17,23.08.17,3019,
26702,check booking proposal,20.07.17 17:07,20.07.17 17:14,Employee,UD1730,19.08.17,23.08.17,3019,
26703,book travel,08.01.17 09:09,08.01.17 10:07,Travel Department,NV2279,19.08.17,23.08.17,3019,
26704,check if expense documents exist,29.08.17 12:15,29.08.17 12:22,Employee,UD1730,19.08.17,23.08.17,3019,
26705,file travel expense report,29.08.17 12:22,29.08.17 12:32,Employee,UD1730,19.08.17,23.08.17,3019,
26706,confirm travel expense report,29.08.17 12:32,29.08.17 12:33,Employee,UD1730,19.08.17,23.08.17,3019,
26707,decide on travel expense approval,29.08.17 14:02,29.08.17 14:06,Manager,LV1269,19.08.17,23.08.17,3019,
26708,send request for travel expense correction,29.08.17 14:06,29.08.17 14:06,,,19.08.17,23.08.17,3019,
26709,correct travel expense report,09.06.17 17:46,09.06.17 18:27,Employee,UD1730,19.08.17,23.08.17,3019,
26710,decide on travel expense approval,09.07.17 13:59,09.07.17 14:03,Manager,LV1269,19.08.17,23.08.17,3019,
26711,send original documents to archive,09.11.17 09:52,09.11.17 10:43,Employee,UD1730,19.08.17,23.08.17,3019,
26712,calculate payments,27.09.17 12:48,27.09.17 13:12,Accounting,JH2172,19.08.17,23.08.17,3019,
26713,pay expenses,10.02.17 10:25,10.02.17 10:31,Accounting,JH2172,19.08.17,23.08.17,3019,
26714,file travel request,04.10.17 06:59,04.10.17 07:22,Employee,WP7913,08.07.17,11.07.17,3020,
26715,check if travel request needs preliminary price inquiry,04.10.17 07:22,04.10.17 07:23,,,08.07.17,11.07.17,3020,
26716,decide on approval requirements,04.10.17 07:23,04.10.17 07:25,,,08.07.17,11.07.17,3020,
26717,check if booking is necessary,17.04.17 10:29,17.04.17 10:33,Travel Department,KS9688,08.07.17,11.07.17,3020,
26718,prepare booking proposal,25.04.17 12:54,25.04.17 14:54,Travel Department,KS9688,08.07.17,11.07.17,3020,
26719,send booking proposal to employee,05.02.17 15:55,05.02.17 15:56,Travel Department,KS9688,08.07.17,11.07.17,3020,
26720,check booking proposal,05.02.17 20:10,05.02.17 20:14,Employee,WP7913,08.07.17,11.07.17,3020,
26721,check if travel request is still needed and up to date,05.12.17 11:31,05.12.17 11:49,Employee,WP7913,08.07.17,11.07.17,3020,
26722,request update of the booking proposal,05.12.17 11:49,05.12.17 11:50,Employee,WP7913,08.07.17,11.07.17,3020,
26723,prepare booking proposal,19.05.17 15:28,19.05.17 17:14,Travel Department,KS9688,08.07.17,11.07.17,3020,
26724,send booking proposal to employee,29.05.17 14:39,29.05.17 14:41,Travel Department,KS9688,08.07.17,11.07.17,3020,
26725,check booking proposal,29.05.17 15:04,29.05.17 15:05,Employee,WP7913,08.07.17,11.07.17,3020,
26726,book travel,06.06.17 15:28,06.06.17 16:58,Travel Department,KS9688,08.07.17,11.07.17,3020,
26727,check if expense documents exist,20.07.17 16:40,20.07.17 16:43,Employee,WP7913,08.07.17,11.07.17,3020,
26728,file travel expense report,20.07.17 16:43,20.07.17 16:46,Employee,WP7913,08.07.17,11.07.17,3020,
26729,confirm travel expense report,20.07.17 16:46,20.07.17 16:48,Employee,WP7913,08.07.17,11.07.17,3020,
26730,decide on travel expense approval,21.07.17 13:59,21.07.17 14:04,Manager,MA6233,08.07.17,11.07.17,3020,
26731,send original documents to archive,08.07.17 06:59,08.07.17 07:36,Employee,WP7913,08.07.17,11.07.17,3020,
26732,calculate payments,08.09.17 08:59,08.09.17 09:37,Accounting,WE5108,08.07.17,11.07.17,3020,
26733,pay expenses,14.08.17 09:44,14.08.17 09:50,Accounting,WE5108,08.07.17,11.07.17,3020,
26734,file travel request,04.10.17 06:59,04.10.17 07:11,Employee,CN787,05.07.17,06.07.17,3021,
26735,check if travel request needs preliminary price inquiry,04.10.17 07:11,04.10.17 07:13,,,05.07.17,06.07.17,3021,
26736,decide on approval requirements,04.10.17 07:13,04.10.17 07:14,,,05.07.17,06.07.17,3021,
26737,check if booking is necessary,17.04.17 09:12,17.04.17 09:14,Travel Department,NV2279,05.07.17,06.07.17,3021,
26738,prepare booking proposal,25.04.17 10:56,25.04.17 12:54,Travel Department,NV2279,05.07.17,06.07.17,3021,
26739,send booking proposal to employee,05.02.17 13:30,05.02.17 13:32,Travel Department,NV2279,05.07.17,06.07.17,3021,
26740,check booking proposal,05.02.17 14:23,05.02.17 14:25,Employee,CN787,05.07.17,06.07.17,3021,
26741,book travel,05.10.17 13:33,05.10.17 14:40,Travel Department,NV2279,05.07.17,06.07.17,3021,
26742,check if expense documents exist,07.10.17 06:59,07.10.17 07:38,Employee,CN787,05.07.17,06.07.17,3021,
26743,file travel expense report,07.10.17 07:38,07.10.17 07:54,Employee,CN787,05.07.17,06.07.17,3021,
26744,confirm travel expense report,07.10.17 07:54,07.10.17 07:56,Employee,CN787,05.07.17,06.07.17,3021,
26745,decide on travel expense approval,07.10.17 14:05,07.10.17 14:05,Manager,HK6824,05.07.17,06.07.17,3021,
26746,send original documents to archive,26.07.17 06:59,26.07.17 07:25,Employee,CN787,05.07.17,06.07.17,3021,
26747,calculate payments,09.11.17 09:16,09.11.17 09:27,Accounting,FI12,05.07.17,06.07.17,3021,
26748,pay expenses,15.09.17 10:03,15.09.17 10:13,Accounting,FI12,05.07.17,06.07.17,3021,
26749,file travel request,04.10.17 06:59,04.10.17 07:16,Employee,TN464,19.05.17,20.05.17,3022,
26750,check if travel request needs preliminary price inquiry,04.10.17 07:16,04.10.17 07:18,,,19.05.17,20.05.17,3022,
26751,prepare booking proposal,17.04.17 10:13,17.04.17 10:55,Travel Department,KS9688,19.05.17,20.05.17,3022,
26752,send booking proposal to employee,25.04.17 13:04,25.04.17 13:04,Travel Department,KS9688,19.05.17,20.05.17,3022,
26753,check booking proposal,25.04.17 13:35,25.04.17 13:37,Employee,TN464,19.05.17,20.05.17,3022,
26754,transform price inquiry to travel request,25.04.17 13:46,25.04.17 13:46,Employee,TN464,19.05.17,20.05.17,3022,
26755,decide on approval requirements,25.04.17 13:46,25.04.17 13:47,,,19.05.17,20.05.17,3022,
26756,check if booking is necessary,05.02.17 14:08,05.02.17 14:12,Travel Department,KS9688,19.05.17,20.05.17,3022,
26757,check if expense documents exist,24.05.17 06:59,24.05.17 07:23,Employee,TN464,19.05.17,20.05.17,3022,
26758,file travel expense report,24.05.17 07:23,24.05.17 07:29,Employee,TN464,19.05.17,20.05.17,3022,
26759,confirm travel expense report,24.05.17 07:29,24.05.17 07:30,Employee,TN464,19.05.17,20.05.17,3022,
26760,decide on travel expense approval,24.05.17 14:00,24.05.17 14:03,Manager,YS1169,19.05.17,20.05.17,3022,
26761,send original documents to archive,29.05.17 21:21,29.05.17 22:09,Employee,TN464,19.05.17,20.05.17,3022,
26762,calculate payments,21.06.17 11:14,21.06.17 11:52,Accounting,FQ3758,19.05.17,20.05.17,3022,
26763,pay expenses,23.06.17 08:59,23.06.17 09:07,Accounting,FQ3758,19.05.17,20.05.17,3022,
26764,file travel request,04.10.17 06:59,04.10.17 07:29,Employee,XI4663,04.07.17,05.07.17,3023,
26765,check if travel request needs preliminary price inquiry,04.10.17 07:29,04.10.17 07:31,,,04.07.17,05.07.17,3023,
26766,decide on approval requirements,04.10.17 07:31,04.10.17 07:32,,,04.07.17,05.07.17,3023,
26767,check if booking is necessary,17.04.17 10:55,17.04.17 11:00,Travel Department,NV2279,04.07.17,05.07.17,3023,
26768,check if expense documents exist,07.10.17 06:59,07.10.17 07:30,Employee,XI4663,04.07.17,05.07.17,3023,
26769,file travel expense report,07.10.17 07:30,07.10.17 07:34,Employee,XI4663,04.07.17,05.07.17,3023,
26770,confirm travel expense report,07.10.17 07:34,07.10.17 07:38,Employee,XI4663,04.07.17,05.07.17,3023,
26771,decide on travel expense approval,07.10.17 14:02,07.10.17 14:04,Manager,TF7102,04.07.17,05.07.17,3023,
26772,send request for travel expense correction,07.10.17 14:04,07.10.17 14:05,,,04.07.17,05.07.17,3023,
26773,correct travel expense report,17.07.17 06:59,17.07.17 07:38,Employee,XI4663,04.07.17,05.07.17,3023,
26774,decide on travel expense approval,17.07.17 14:03,17.07.17 14:05,Manager,TF7102,04.07.17,05.07.17,3023,
26775,send original documents to archive,31.07.17 20:32,31.07.17 20:57,Employee,XI4663,04.07.17,05.07.17,3023,
26776,calculate payments,28.08.17 08:59,28.08.17 09:31,Accounting,GR7476,04.07.17,05.07.17,3023,
26777,pay expenses,09.04.17 11:05,09.04.17 11:15,Accounting,GR7476,04.07.17,05.07.17,3023,
26778,file travel request,04.10.17 06:59,04.10.17 07:08,Employee,DW195,18.07.17,21.07.17,3024,
26779,check if travel request needs preliminary price inquiry,04.10.17 07:08,04.10.17 07:10,,,18.07.17,21.07.17,3024,
26780,decide on approval requirements,04.10.17 07:10,04.10.17 07:11,,,18.07.17,21.07.17,3024,
26781,check if booking is necessary,17.04.17 08:59,17.04.17 09:03,Travel Department,JV9257,18.07.17,21.07.17,3024,
26782,prepare booking proposal,25.04.17 10:14,25.04.17 10:56,Travel Department,JV9257,18.07.17,21.07.17,3024,
26783,send booking proposal to employee,05.02.17 13:11,05.02.17 13:16,Travel Department,JV9257,18.07.17,21.07.17,3024,
26784,check booking proposal,05.02.17 19:12,05.02.17 19:14,Employee,DW195,18.07.17,21.07.17,3024,
26785,check if travel request is still needed and up to date,05.11.17 06:59,05.11.17 07:21,Employee,DW195,18.07.17,21.07.17,3024,
26786,request update of the booking proposal,05.11.17 07:21,05.11.17 07:21,Employee,DW195,18.07.17,21.07.17,3024,
26787,prepare booking proposal,18.05.17 13:13,18.05.17 13:42,Travel Department,JV9257,18.07.17,21.07.17,3024,
26788,send booking proposal to employee,26.05.17 16:13,26.05.17 16:18,Travel Department,JV9257,18.07.17,21.07.17,3024,
26789,check booking proposal,26.05.17 16:55,26.05.17 17:02,Employee,DW195,18.07.17,21.07.17,3024,
26790,book travel,06.05.17 10:41,06.05.17 11:46,Travel Department,JV9257,18.07.17,21.07.17,3024,
26791,check if expense documents exist,31.07.17 06:59,31.07.17 07:17,Employee,DW195,18.07.17,21.07.17,3024,
26792,upload travel expense documents,31.07.17 07:17,31.07.17 07:31,Employee,DW195,18.07.17,21.07.17,3024,
26793,file travel expense report,31.07.17 07:31,31.07.17 07:36,Employee,DW195,18.07.17,21.07.17,3024,
26794,confirm travel expense report,31.07.17 07:36,31.07.17 07:39,Employee,DW195,18.07.17,21.07.17,3024,
26795,decide on travel expense approval,31.07.17 14:04,31.07.17 14:06,Manager,MV9004,18.07.17,21.07.17,3024,
26796,send original documents to archive,16.08.17 07:59,16.08.17 08:22,Employee,DW195,18.07.17,21.07.17,3024,
26797,calculate payments,28.08.17 10:06,28.08.17 10:24,Accounting,JH2172,18.07.17,21.07.17,3024,
26798,pay expenses,09.01.17 08:59,09.01.17 09:10,Accounting,JH2172,18.07.17,21.07.17,3024,
26799,file travel request,04.10.17 06:59,04.10.17 07:19,Employee,TX3518,16.06.17,18.06.17,3025,
26800,check if travel request needs preliminary price inquiry,04.10.17 07:19,04.10.17 07:20,,,16.06.17,18.06.17,3025,
26801,decide on approval requirements,04.10.17 07:20,04.10.17 07:21,,,16.06.17,18.06.17,3025,
26802,check if booking is necessary,17.04.17 10:19,17.04.17 10:20,Travel Department,JV9257,16.06.17,18.06.17,3025,
26803,prepare booking proposal,25.04.17 12:08,25.04.17 13:26,Travel Department,JV9257,16.06.17,18.06.17,3025,
26804,send booking proposal to employee,05.02.17 13:39,05.02.17 13:44,Travel Department,JV9257,16.06.17,18.06.17,3025,
26805,check booking proposal,05.02.17 15:48,05.02.17 15:50,Employee,TX3518,16.06.17,18.06.17,3025,
26806,book travel,05.10.17 15:09,05.10.17 18:27,Travel Department,JV9257,16.06.17,18.06.17,3025,
26807,check if expense documents exist,20.06.17 06:59,20.06.17 07:46,Employee,TX3518,16.06.17,18.06.17,3025,
26808,file travel expense report,20.06.17 07:46,20.06.17 07:49,Employee,TX3518,16.06.17,18.06.17,3025,
26809,confirm travel expense report,20.06.17 07:49,20.06.17 07:51,Employee,TX3518,16.06.17,18.06.17,3025,
26810,decide on travel expense approval,20.06.17 14:02,20.06.17 14:08,Manager,JH852,16.06.17,18.06.17,3025,
26811,send original documents to archive,07.03.17 06:59,07.03.17 07:28,Employee,TX3518,16.06.17,18.06.17,3025,
26812,calculate payments,07.10.17 10:28,07.10.17 10:45,Accounting,WO40,16.06.17,18.06.17,3025,
26813,pay expenses,27.07.17 08:59,27.07.17 09:12,Accounting,WO40,16.06.17,18.06.17,3025,
26814,file travel request,04.10.17 06:59,04.10.17 07:09,Employee,WK3041,20.05.17,22.05.17,3026,
26815,check if travel request needs preliminary price inquiry,04.10.17 07:09,04.10.17 07:10,,,20.05.17,22.05.17,3026,
26816,decide on approval requirements,04.10.17 07:10,04.10.17 07:11,,,20.05.17,22.05.17,3026,
26817,check if booking is necessary,17.04.17 09:01,17.04.17 09:10,Travel Department,WG5857,20.05.17,22.05.17,3026,
26818,check if expense documents exist,25.05.17 20:05,25.05.17 20:31,Employee,WK3041,20.05.17,22.05.17,3026,
26819,upload travel expense documents,25.05.17 20:31,25.05.17 20:38,Employee,WK3041,20.05.17,22.05.17,3026,
26820,file travel expense report,25.05.17 20:38,25.05.17 20:44,Employee,WK3041,20.05.17,22.05.17,3026,
26821,confirm travel expense report,25.05.17 20:44,25.05.17 20:47,Employee,WK3041,20.05.17,22.05.17,3026,
26822,decide on travel expense approval,26.05.17 13:59,26.05.17 14:04,Manager,MV9004,20.05.17,22.05.17,3026,
26823,send original documents to archive,14.06.17 11:28,14.06.17 12:03,Employee,WK3041,20.05.17,22.05.17,3026,
26824,calculate payments,19.06.17 10:02,19.06.17 10:32,Accounting,VA7847,20.05.17,22.05.17,3026,
26825,pay expenses,26.06.17 10:24,26.06.17 10:32,Accounting,VA7847,20.05.17,22.05.17,3026,
26826,file travel request,04.10.17 06:59,04.10.17 07:13,Employee,KB279,22.10.17,25.10.17,3027,
26827,check if travel request needs preliminary price inquiry,04.10.17 07:13,04.10.17 07:14,,,22.10.17,25.10.17,3027,
26828,prepare booking proposal,17.04.17 09:12,17.04.17 09:56,Travel Department,KS9688,22.10.17,25.10.17,3027,
26829,send booking proposal to employee,25.04.17 11:33,25.04.17 11:34,Travel Department,KS9688,22.10.17,25.10.17,3027,
26830,check booking proposal,25.04.17 14:56,25.04.17 15:01,Employee,KB279,22.10.17,25.10.17,3027,
26831,check if price inquiry is still needed and up to date,28.04.17 18:18,28.04.17 18:27,Employee,KB279,22.10.17,25.10.17,3027,
26832,request update of the booking proposal,28.04.17 18:27,28.04.17 18:27,Employee,KB279,22.10.17,25.10.17,3027,
26833,prepare booking proposal,05.08.17 11:42,05.08.17 13:03,Travel Department,KS9688,22.10.17,25.10.17,3027,
26834,send booking proposal to employee,16.05.17 08:59,16.05.17 09:01,Travel Department,KS9688,22.10.17,25.10.17,3027,
26835,check booking proposal,16.05.17 09:51,16.05.17 09:53,Employee,KB279,22.10.17,25.10.17,3027,
26836,check if price inquiry is still needed and up to date,22.05.17 06:59,22.05.17 07:15,Employee,KB279,22.10.17,25.10.17,3027,
26837,request update of the booking proposal,22.05.17 07:15,22.05.17 07:15,Employee,KB279,22.10.17,25.10.17,3027,
26838,prepare booking proposal,30.05.17 09:05,30.05.17 10:50,Travel Department,KS9688,22.10.17,25.10.17,3027,
26839,send booking proposal to employee,06.07.17 13:54,06.07.17 13:57,Travel Department,KS9688,22.10.17,25.10.17,3027,
26840,check booking proposal,06.07.17 14:48,06.07.17 14:52,Employee,KB279,22.10.17,25.10.17,3027,
26841,check if price inquiry is still needed and up to date,06.12.17 06:59,06.12.17 07:10,Employee,KB279,22.10.17,25.10.17,3027,
26842,request update of the booking proposal,06.12.17 07:10,06.12.17 07:10,Employee,KB279,22.10.17,25.10.17,3027,
26843,prepare booking proposal,20.06.17 09:11,20.06.17 10:51,Travel Department,KS9688,22.10.17,25.10.17,3027,
26844,send booking proposal to employee,28.06.17 16:25,28.06.17 16:28,Travel Department,KS9688,22.10.17,25.10.17,3027,
26845,check booking proposal,28.06.17 16:57,28.06.17 16:59,Employee,KB279,22.10.17,25.10.17,3027,
26846,transform price inquiry to travel request,28.06.17 17:00,28.06.17 17:00,Employee,KB279,22.10.17,25.10.17,3027,
26847,decide on approval requirements,28.06.17 17:00,28.06.17 17:00,,,22.10.17,25.10.17,3027,
26848,check if booking is necessary,14.07.17 10:38,14.07.17 10:40,Travel Department,KS9688,22.10.17,25.10.17,3027,
26849,prepare booking proposal,25.07.17 14:04,25.07.17 16:06,Travel Department,KS9688,22.10.17,25.10.17,3027,
26850,send booking proposal to employee,08.07.17 11:52,08.07.17 11:53,Travel Department,KS9688,22.10.17,25.10.17,3027,
26851,check booking proposal,08.07.17 16:02,08.07.17 16:12,Employee,KB279,22.10.17,25.10.17,3027,
26852,book travel,17.08.17 11:14,17.08.17 12:38,Travel Department,KS9688,22.10.17,25.10.17,3027,
26853,check if expense documents exist,26.10.17 06:59,26.10.17 07:53,Employee,KB279,22.10.17,25.10.17,3027,
26854,upload travel expense documents,26.10.17 07:53,26.10.17 08:09,Employee,KB279,22.10.17,25.10.17,3027,
26855,file travel expense report,26.10.17 08:09,26.10.17 08:21,Employee,KB279,22.10.17,25.10.17,3027,
